DistrictCode,SchoolCode,SARCYear,CSNAPC,ENAPC,FPANAPC,FLNAPC,MNAPC,SNAPC,SSNAPC,ALLNAPC,PSIAPC
1964717,6015101,2020-21,0,0,0,0,0,0,0,0,
1964212,6057459,2020-21,0,0,0,0,0,0,0,0,
3667876,6067078,2020-21,0,0,0,0,0,0,0,0,
0761655,0108019,2020-21,0,0,0,0,0,0,0,0,
1062265,6006878,2020-21,0,0,0,0,0,0,0,0,
5071175,0121129,2020-21,5,5,2,0,14,12,29,67,25.2
5772710,0000000,2020-21,0,0,0,0,0,0,0,0,.0
3768296,6038996,2020-21,0,0,0,0,0,0,0,0,
1964667,0121962,2020-21,0,0,0,0,0,0,0,0,
3367124,3333770,2020-21,0,2,1,6,2,3,6,20,15.7
4570110,6050512,2020-21,0,0,0,0,0,0,0,0,
5475325,5430277,2020-21,0,0,0,0,0,0,0,0,.0
3768122,3732179,2020-21,0,10,6,12,6,10,12,60,21.3
1363107,6008403,2020-21,0,0,0,0,0,0,0,0,
4670177,6050629,2020-21,0,0,0,0,0,0,0,0,
3667876,6036974,2020-21,0,0,0,0,0,0,0,0,
3768338,6040141,2020-21,0,0,0,0,0,0,0,0,
3968676,6042626,2020-21,0,0,0,0,0,0,0,0,
3375200,6108849,2020-21,0,0,0,0,0,0,0,0,
5472249,5435466,2020-21,0,5,0,4,3,1,12,25,20.6
3467439,0102038,2020-21,0,1,0,0,0,0,2,3,9.8
1964733,6057897,2020-21,0,0,0,0,0,0,0,0,
5772710,6107163,2020-21,0,0,0,0,0,0,0,0,
4870540,6051148,2020-21,0,0,0,0,0,0,0,0,
2365565,2330355,2020-21,0,0,0,0,0,0,0,0,.0
3768098,6038947,2020-21,0,0,0,0,0,0,0,0,
2075606,0132936,2020-21,0,0,0,0,0,0,0,0,.0
1010108,0136291,2020-21,0,0,0,0,0,0,0,0,.0
5672538,6055354,2020-21,0,0,0,0,0,0,0,0,
3667876,6037048,2020-21,0,0,0,0,0,0,0,0,
3367090,6061774,2020-21,0,0,0,0,0,0,0,0,
0161200,0135376,2020-21,0,0,0,0,0,0,0,0,
3066431,3038239,2020-21,0,3,0,4,1,3,6,17,18.6
3367033,6031785,2020-21,0,0,0,0,0,0,0,0,
1975713,6011001,2020-21,0,0,0,0,0,0,0,0,
1363149,6008528,2020-21,0,0,0,0,0,0,0,0,
5071217,0110080,2020-21,0,0,0,0,0,0,0,0,
5672603,6055792,2020-21,0,0,0,0,0,0,0,0,
1964733,1939784,2020-21,0,0,0,0,0,0,0,0,.0
4068700,6107544,2020-21,0,0,0,0,0,0,0,0,
3467330,6118012,2020-21,0,0,0,0,0,0,0,0,
4369674,6048847,2020-21,0,0,0,0,0,0,0,0,
1964451,6012801,2020-21,0,0,0,0,0,0,0,0,
3667678,3631017,2020-21,2,22,0,9,15,17,46,114,33.9
0761739,6003826,2020-21,0,0,0,0,0,0,0,0,
1764014,1730043,2020-21,0,0,0,0,0,0,0,0,.0
2065243,6023972,2020-21,0,0,0,0,0,0,0,0,
0710074,0129684,2020-21,0,8,0,1,2,4,8,23,48.7
1964733,0122630,2020-21,0,0,0,0,0,0,0,0,
1573742,6009625,2020-21,0,0,0,0,0,0,0,0,
4469823,4430187,2020-21,0,0,0,0,0,0,0,0,.0
0961887,6110167,2020-21,0,0,0,0,0,0,0,0,
3673957,3630233,2020-21,1,7,1,4,2,2,5,22,17.7
3367090,6106835,2020-21,0,0,0,0,0,0,0,0,
1563693,0113738,2020-21,0,0,0,0,0,0,0,0,
5510553,5530118,2020-21,0,0,0,0,0,0,0,0,.0
3968585,6042188,2020-21,0,0,0,0,0,0,0,0,
3768189,6085047,2020-21,0,0,0,0,0,0,0,0,
1965060,6022982,2020-21,0,0,0,0,0,0,0,0,
3066647,6068621,2020-21,0,0,0,0,0,0,0,0,
4569856,4530192,2020-21,0,0,0,0,0,0,0,0,.0
1975341,6022149,2020-21,0,0,0,0,0,0,0,0,
3768338,6039481,2020-21,0,0,0,0,0,0,0,0,
4369625,6048086,2020-21,0,0,0,0,0,0,0,0,
1764055,0129601,2020-21,1,2,0,0,1,0,3,7,4.8
3367124,6032320,2020-21,0,0,0,0,0,0,0,0,
1062166,6006076,2020-21,0,0,0,0,0,0,0,0,
1964659,6014658,2020-21,0,0,0,0,0,0,0,0,
2765961,6025977,2020-21,0,0,0,0,0,0,0,0,
0461507,0129577,2020-21,0,0,0,0,0,0,0,0,
1964634,6014559,2020-21,0,0,0,0,0,0,0,0,
1062166,6006589,2020-21,0,0,0,0,0,0,0,0,
3367215,6059133,2020-21,0,0,0,6,0,0,0,6,
1964857,0133611,2020-21,0,0,0,0,0,0,0,0,
1062125,6005961,2020-21,0,0,0,0,0,0,0,0,
1363149,6008536,2020-21,0,0,0,0,0,0,0,0,
3467439,6061832,2020-21,0,0,0,0,0,0,0,0,.0
1964733,0127803,2020-21,0,0,2,0,0,0,0,2,17.2
1563693,6118681,2020-21,0,0,0,0,0,0,0,0,
1563321,6008999,2020-21,0,0,0,0,0,0,0,0,
3367058,0100164,2020-21,0,0,0,0,0,0,0,0,
