CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
19647330109447,19,64733,0109447,2020-21,23,39,40,28,26,24,27,26,29,7,25,19,27,15,15,27,21,53,29,28,24,25,36,14,29,7,20,24,28,13,13,28,25,33,17,39,27,13,28,23,28,9,21,25,32,4,14,30
34674390101907,34,67439,0101907,2020-21,18,11,12,,17,10,7,,17,7,2,,19,7,7,,18,10,6,,18,12,3,,19,4,6,,11,19,7,,13,18,2,,12,17,1,,11,14,3,,12,19,3,
16638916010359,16,63891,6010359,2020-21,20,13,15,,24,7,25,,26,3,15,,24,5,14,,21,14,15,,29,4,12,4,32,2,12,4,25,3,17,,20,13,20,,24,3,20,,27,,20,,25,2,20,
43104390128090,43,10439,0128090,2020-21,24,7,16,,25,4,17,,23,7,14,,24,6,16,,22,14,13,,25,14,7,4,22,13,11,,22,12,12,,24,9,16,,23,9,15,,23,9,15,,24,7,17,1
54755236054266,54,75523,6054266,2020-21,22,17,13,2,24,7,20,,26,7,13,5,27,7,15,6,23,15,13,5,24,10,17,,28,3,18,3,28,4,13,6,23,13,23,,23,9,19,1,29,3,14,3,29,,18,4
38684786059869,38,68478,6059869,2020-21,25,8,11,7,22,11,15,,25,8,12,5,26,5,10,8,26,8,8,9,23,8,10,5,25,6,14,3,26,5,9,7,23,10,14,5,22,9,16,,26,5,13,5,25,6,13,4
47104700117168,47,10470,0117168,2020-21,8,24,3,,7,24,2,,10,12,1,1,7,20,2,,52,15,3,8,35,21,1,6,68,10,1,5,56,18,1,8,151,11,,9,64,18,,7,78,14,,6,101,12,1,7
51714560133934,51,71456,0133934,2020-21,2,264,,,1,263,,,2,204,,,2,256,,,2,184,,,1,144,,,2,128,,,2,182,,,2,151,,,2,138,,,2,114,,,2,160,,
12626871230044,12,62687,1230044,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,2,,,,,,,,
19757136011100,19,75713,6011100,2020-21,19,6,4,2,32,,4,2,32,,4,2,32,,4,2,20,6,1,5,33,,1,5,33,,1,5,33,,1,5,26,2,1,5,29,1,1,5,34,,1,5,34,,1,5
10621666120125,10,62166,6120125,2020-21,31,1,3,6,31,,6,4,31,2,3,5,31,1,4,5,29,,8,2,27,1,8,2,29,,8,2,29,,8,2,26,3,6,1,23,4,8,,26,1,9,,26,,10,
19648576105613,19,64857,6105613,2020-21,20,22,11,7,22,12,11,6,27,5,17,7,27,6,11,6,21,18,13,5,20,17,13,,25,7,16,2,27,3,14,4,21,22,13,3,22,13,14,2,26,5,17,3,27,3,15,3
37683380124115,37,68338,0124115,2020-21,21,9,9,3,23,6,11,3,25,5,8,4,27,3,8,5,23,9,10,,26,7,6,3,27,3,7,4,27,3,9,2,24,6,15,,25,6,9,1,26,2,12,,26,4,10,
32669693235603,32,66969,3235603,2020-21,11,22,3,,19,10,5,,20,7,7,,14,10,8,,12,18,5,,16,11,5,,16,11,6,,15,11,7,,7,36,5,,7,35,4,,7,30,5,1,8,27,4,1
10621176101190,10,62117,6101190,2020-21,29,7,16,18,28,8,20,15,33,4,3,28,31,3,16,18,31,6,13,23,33,2,13,22,36,,6,27,34,,13,22,29,9,20,13,29,12,14,17,35,2,8,24,32,2,21,13
43696416060065,43,69641,6060065,2020-21,21,17,20,,21,16,19,,24,8,24,,25,5,24,,19,18,18,,20,18,15,,23,11,18,,24,9,18,,18,23,10,,18,23,9,,20,15,15,,22,16,11,
